Category 1,Category 2,Category 3,Name,PLU,Base Price,GTINs,Description,Image Links,Weight Unit,Weight,Dimension Unit,Height,Width,Length,Manufacturer Name,Manufacturer Brand,Manufacturer Address,Tax Rate,Program Eligibility,Price Unit,Sell Unit,Volume Unit,Volume,Allergens,Energy,Energy Unit,Product Traits,Wine variety,Wine vintage,Alcohol percentage,Wine styles,Country origin,Package type,Region origin,Grape variety,Tasting notes,Package Dimension Height,Package Dimension Width,Package Dimension Length,Package Dimension Unit,Package Volume,Package Volume Unit,Package Weight,Package Weight Unit,Package Count,Storage Instructions,Net Quantity Unit,Net Quantity,Serving Size Unit,Serving Size,Servings,Conversion Rate,Minimum Quantity,Maximum Quantity,Ingredients,Additives,Instruction For Use,Deposit,Added Sugar,Calcium,Carbohydrates,Chloride,Cholesterol,Fat,Fiber,Fluoride,Magnesium,Monounsaturated Fat,Polyols,Polyunsaturated Fat,Potassium,Protein,Salt,Saturated Fat,Sodium,Starch,Sugar,Trans Fat,Vitamin C,In-store price
"Deli, Dips & Cooked Meat",Cooked & Cured Meat,,Cookstown Oven Baked Wafer Thin Ham Slices 200g,39720000,3.13,5017326015972,,https://asdagroceries.scene7.com/is/image/asdagroceries/5017326015972,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
"Deli, Dips & Cooked Meat",Cooked & Cured Meat,,"Henry Denny & Sons Pork, Onion & Tomato 20 Slices 200g",39720040,2.98,5011069009731,,https://asdagroceries.scene7.com/is/image/asdagroceries/5011069009731,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
"Deli, Dips & Cooked Meat",Cooked & Cured Meat,,Henry Denny & Sons Ham & Chicken 20 Slices,39720039,2.98,5011069009724,,https://asdagroceries.scene7.com/is/image/asdagroceries/5011069009724,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
"Deli, Dips & Cooked Meat",Cooked & Cured Meat,,Roast Chicken Breast Fillets 240g,39720068,3.68,5051413586044,,https://asdagroceries.scene7.com/is/image/asdagroceries/5051413586044,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
"Deli, Dips & Cooked Meat","Olives, Dips & Antipasti",,Red Pepper Houmous 200g,40100001,1.62,5050854476891,,https://asdagroceries.scene7.com/is/image/asdagroceries/5050854476891,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62
"Deli, Dips & Cooked Meat","Olives, Dips & Antipasti",,Coleslaw 300g,40100028,1.43,5050854584183,,https://asdagroceries.scene7.com/is/image/asdagroceries/5050854584183,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43
"Deli, Dips & Cooked Meat","Olives, Dips & Antipasti",,Caramelised Onion Houmous 200g,40100000,1.62,5051413585740,,https://asdagroceries.scene7.com/is/image/asdagroceries/5051413585740,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62
"Deli, Dips & Cooked Meat","Olives, Dips & Antipasti",,Cauldron Middle Eastern Falafels 200g,30120010,2.52,5013683305589,,https://asdagroceries.scene7.com/is/image/asdagroceries/0400077372732,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
"Deli, Dips & Cooked Meat","Olives, Dips & Antipasti",,Doritos Mild Salsa Sharing Dip 300g,10170004,3.16,5000328697796,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000328697703,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16
"Deli, Dips & Cooked Meat","Pies, Pasties & Quiches",,Holland's Cheese & Onion Pie,40090044,2.02,5000242451122,,https://asdagroceries.scene7.com/is/image/asdagroceries/5000242451122,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02
