plu,price
35720118,2.12
35770134,2.56
35770135,2.42
35720082,4.36
35750031,3.12
35750009,3.62
35720130,1.84
35720009,2.18
35690002,1.82
45690022,2.52
45690046,2.52
45690062,2.52
45690059,2.52
35770054,2.42
35730002,2.16
32510049,0.98
35770151,2.56
35770000,2.78
35700000,2.42
35700002,2.42
35700001,2.42
35700003,2.42
35700004,2.42
35750007,0.96
35750006,0.82
35750008,0.96
35750005,0.96
35750004,0.96
35710057,1.02
35710056,1.87
35710055,1.06
35710000,3.88
35710001,4.06
36920027,15.17
36920026,22.32
36920117,33.64
36920137,24.43
36920007,45.26
36920075,26.82
36920076,26.82
36920022,23.68
36920078,18.98
36920047,25.32
36910007,3.43
36910001,4.97
36910031,3.37
36910002,3.52
36910003,3.52
36920128,22.33
36920008,22.32
36920013,35.72
36920046,15.17
36920019,22.32
36920138,24.72
36920029,22.32
36920030,15.58
36920003,30.96
36910009,4.97
33700000,6.76
33700033,3.12
33700001,8.43
33700009,9.06
33700050,4.86
33690003,4.98
33690002,0.48
33690005,0.63
33690006,0.63
33690011,3.48
33720012,1.37
33720002,2.52
33720006,1.12
33720000,2.23
33720003,1.82
33710001,3.86
33710042,5.02
33710000,4.23
33710003,2.86
33710006,2.86
37370001,0.88
37370009,1.08
37370000,1.62
37370003,1.76
37370002,3.52
37340148,23.97
37340149,18.63
37330015,9.32
37340187,20.22
37340150,23.97
37330005,11.26
37330006,13.17
37330007,17.02
37330009,11.26
37330012,22.02
37340156,58.53
37340177,35.32
37340178,33.16
37340179,54.82
37340181,31.22
37360008,5.34
37360009,5.34
37360010,5.34
37360024,5.34
37360029,24.32
28230018,5.62
28230119,3.13
28230041,5.62
28230026,4.18
28230000,4.18
28260005,2.52
28260025,4.66
28260024,4.66
28260006,2.52
28260028,6.26
28290004,1.26
28290005,1.26
28220010,4.66
28290000,1.86
28290001,1.86
28160008,7.48
28160007,7.48
28270015,5.63
28270013,3.73
28270014,3.73
28240000,1.23
28240001,1.88
28240002,1.86
28240003,1.86
28240005,1.23
28190009,3.12
28190053,5.62
28190006,3.44
28190007,3.44
28190008,3.44
28250005,6.88
28230081,8.32
28230049,3.13
28230028,7.52
28230058,4.36
28220055,4.13
28220012,3.02
28220006,3.72
28220051,16.26
28220052,29.98
47290001,1.36
47290000,1.36
47290002,1.36
47290003,0.76
47290010,0.76
28490000,1.02
28490007,1.52
47300008,1.56
28490003,1.26
28490015,1.48
26890005,1.12
26890000,2.16
26890002,1.12
26890013,1.72
26890012,2.52
47290013,1.22
47290015,1.26
47300000,0.63
47290004,1.24
47300027,1.88
36670000,5.02
36670001,6.24
36670003,6.24
36590011,58.52
36590002,46.38
36590000,27.48
36590001,80.13
36590028,63.92
36710000,20.76
36690003,7.72
36690060,12.62
36690013,11.63
36690015,11.67
36680012,8.58
36680000,8.58
36680002,9.06
36680003,10.28
36680010,10.97
36700000,7.72
36700004,7.72
36700007,14.33
36700006,9.78
36700015,14.22
32890020,2.13
36900012,10.4
36920278,9.75
48090507,12.15
